,alias,annotation.DB_Object_Name,annotation.GO BIOLOGICAL_PROCESS,annotation.GO CELLULAR_COMPONENT,annotation.GO MOLECULAR_FUNCTION,label,kegg,uniprot,sgd,entrez
YOR167C,"RPS28A, RPS33A, S000005693, ribosomal protein S28A (S33A) (YS27)",ribosomal protein S28A (S33A) (YS27),,cytosolic small ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RS28A,sce:YOR167C,RS28A_YEAST,S000005693,854338
YOR178C,"GAC1, Glc7p regulatory subunit, S000005704",Glc7p regulatory subunit,"glycogen metabolic process, meiosis, mitotic spindle checkpoint, negative regulation of transcription from RNA polymerase II promoter, response to heat",protein phosphatase type 1 complex,"heat shock protein binding, protein phosphatase type 1 regulator activity, structural molecule activity",GAC1,sce:YOR178C,GAC1_YEAST,S000005704,854350
YOR202W,"HIS10, HIS3, S000005728, imidazoleglycerol-phosphate dehydratase",imidazoleglycerol-phosphate dehydratase,histidine biosynthetic process,intracellular,imidazoleglycerol-phosphate dehydratase activity,HIS7,sce:YOR202W,HIS7_YEAST,S000005728,854377
YOR204W,"DED1, S000005730, SPP81",,"RNA splicing, translational initiation",cytoplasm,RNA helicase activity,DED1,sce:YOR204W,DED1_YEAST,S000005730,854379
YOR212W,"G protein beta subunit, HMD2, S000005738, STE4",G protein beta subunit,"heterotrimeric G-protein complex cycle, invasive growth (sensu the Saccharomyces research community), pheromone-dependent signal transduction during conjugation with cellular fusion","heterotrimeric G-protein complex, mating projection, plasma membrane",signal transducer activity,GBB,sce:YOR212W,GBB_YEAST,S000005738,854387
YOR215C,S000005741,,biological_process,mitochondrion,molecular_function,AIM41,sce:YOR215C,AIM41_YEAST,S000005741,854390
YOR264W,"DSE3, S000005790",,biological_process,bud neck,molecular_function,DSE3,sce:YOR264W,DSE3_YEAST,S000005790,854437
YOR290C,"GAM1, HAF1, S000005816, SNF2, SWI2, TYE3, transcriptional regulator",transcriptional regulator,"chromatin remodeling, double-strand break repair","SWI/SNF complex, chromatin remodeling complex","DNA-dependent ATPase activity, general RNA polymerase II transcription factor activity",SNF2,sce:YOR290C,SNF2_YEAST,S000005816,854465
YOR303W,"CPA1, S000005829, carbamoyl phosphate synthetase",carbamoyl phosphate synthetase,arginine biosynthetic process,carbamoyl-phosphate synthase complex,carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity,CARA,sce:YOR303W,CARA_YEAST,S000005829,854479
YOR310C,"NOP5, NOP58, S000005837, U3 snoRNP protein",U3 snoRNP protein,"35S primary transcript processing, processing of 20S pre-rRNA, rRNA modification","box C/D snoRNP complex, small nucleolar ribonucleoprotein complex",molecular_function,NOP58,sce:YOR310C,NOP58_YEAST,S000005837,854487
YOR315W,"S000005842, SFG1",,"positive regulation of transcription from RNA polymerase II promoter, pseudohyphal growth","cytoplasm, nucleus",specific RNA polymerase II transcription factor activity,SFG1,sce:YOR315W,SFG1_YEAST,S000005842,854493
YOR326W,"CDC66, MYO2, S000005853, class V myosin",class V myosin,"Golgi inheritance, budding cell apical bud growth, establishment of mitotic spindle orientation, membrane addition at site of cytokinesis, mitochondrion inheritance, peroxisome inheritance, unidimensional cell growth, vacuole inheritance, vesicle transport along actin filament, vesicle-mediated transport","actin cable, bud neck, bud tip, filamentous actin, incipient bud site, mating projection tip, myosin V complex, vacuolar membrane (sensu the Fungi research community), vesicle","actin filament binding, calmodulin binding, microfilament motor activity",MYO2,sce:YOR326W,MYO2_YEAST,S000005853,854504
YOR327C,"S000005854, SNC2",,"Golgi to plasma membrane transport, endocytosis, telomere maintenance, vesicle fusion","Golgi trans face, endosome, transport vesicle",v-SNARE activity,SNC2,sce:YOR327C,SNC2_YEAST,S000005854,854505
YOR355W,"GDS1, S000005882",,aerobic respiration,"cytoplasm, mitochondrion, nucleus",molecular_function,GDS1,sce:YOR355W,GDS1_YEAST,S000005882,854537
YOR361C,"CDC63, DNA26, PRT1, S000005888, translation initiation factor eIF3 subunit",translation initiation factor eIF3 subunit,translational initiation,"cytoplasm, eukaryotic translation initiation factor 3 complex, multi-eIF complex",translation initiation factor activity,EIF3B,sce:YOR361C,EIF3B_YEAST,S000005888,854543
YOR362C,"PRE10, S000005889, proteasome component YC1 (protease yscE subunit 1)",proteasome component YC1 (protease yscE subunit 1),ubiquitin-dependent protein catabolic process,"proteasome core complex, alpha-subunit complex (sensu the Eukaryota research community)",endopeptidase activity,PSA7,sce:YOR362C,PSA7_YEAST,S000005889,854544
YPL031C,"LDB15, PHO85, S000005952, cyclin-dependent protein kinase",cyclin-dependent protein kinase,"cell cycle, glycogen metabolic process, phosphate metabolic process, protein amino acid phosphorylation, telomere maintenance",nucleus,cyclin-dependent protein kinase activity,PHO85,sce:YPL031C,PHO85_YEAST,S000005952,856076
YPL075W,"GCR1, LPF10, S000005996, trans-acting positive regulator of the enolase and glyceraldehyde-3-phosphate dehydrogenase gene families",trans-acting positive regulator of the enolase and glyceraldehyde-3-phosphate dehydrogenase gene families,"positive regulation of glycolysis, positive regulation of transcription from RNA polymerase II promoter",nucleus,"DNA binding, transcriptional activator activity",GCR1,sce:YPL075W,GCR1_YEAST,S000005996,856030
YPL089C,"RLM1, S000006010",,"cell wall organization and biogenesis, positive regulation of transcription from RNA polymerase II promoter, response to acid, signal transduction",nucleus,"DNA bending activity, DNA binding, transcriptional activator activity",RLM1,sce:YPL089C,RLM1_YEAST,S000006010,856016
YPL111W,"CAR1, LPH15, S000006032, arginase, cargA",arginase,arginine catabolic process to ornithine,cytosol,"arginase activity, manganese ion binding, zinc ion binding",ARGI,sce:YPL111W,ARGI_YEAST,S000006032,855993
YPL131W,"LPI14, RPL1, RPL5, S000006052, ribosomal protein L5 (L1a)(YL3)",ribosomal protein L5 (L1a)(YL3),ribosomal large subunit assembly and maintenance,cytosolic large ribosomal subunit (sensu the Eukaryota research community),"RNA binding, structural constituent of ribosome",RL5,sce:YPL131W,RL5_YEAST,S000006052,855972
YPL149W,"APG5, ATG5, S000006070",,"autophagy, protein targeting to vacuole","autophagic vacuole, cytosol, pre-autophagosomal structure",molecular_function,ATG5,sce:YPL149W,ATG5_YEAST,S000006070,855954
YPL201C,"S000006122, YIG1",,glycerol biosynthetic process,"cytosol, nucleus",molecular_function,YIG1,sce:YPL201C,YIG1_YEAST,S000006122,855900
YPL211W,"NIP7, S000006132",,"rRNA processing, ribosomal large subunit assembly and maintenance, ribosomal large subunit biogenesis and assembly","cytosolic large ribosomal subunit (sensu the Eukaryota research community), nucleolus",molecular_function,NIP7,sce:YPL211W,NIP7_YEAST,S000006132,855890
YPL222W,S000006143,,biological_process,mitochondrion,molecular_function,FMP40,sce:YPL222W,FMP40_YEAST,S000006143,855879
YPL240C,"HSP82, HSP90, S000006161, heat shock protein 90",heat shock protein 90,"'de novo' protein folding, proteasome assembly, protein refolding, response to osmotic stress, response to stress",cytoplasm,"ATPase activity, coupled, unfolded protein binding",HSP82,sce:YPL240C,HSP82_YEAST,S000006161,855836
YPL248C,"GAL4, GAL81, S000006169, zinc finger transcription factor of the Zn(2)-Cys(6) binuclear cluster domain type",zinc finger transcription factor of the Zn(2)-Cys(6) binuclear cluster domain type,"galactose metabolic process, positive regulation of transcription by galactose",nucleus,"transcription factor activity, transcriptional activator activity",GAL4,sce:YPL248C,GAL4_YEAST,S000006169,855828
YPR010C," RNA polymerase I subunit, A135, RPA135, RPA2, RRN2, S000006214, SRP3","A135, RNA polymerase I subunit",transcription from RNA polymerase I promoter,DNA-directed RNA polymerase I complex,DNA-directed RNA polymerase activity,RPA2,sce:YPR010C,RPA2_YEAST,S000006214,856119
YPR035W,"GLN1, S000006239, glutamine synthetase",glutamine synthetase,"glutamine biosynthetic process, nitrogen compound metabolic process",cytoplasm,glutamate-ammonia ligase activity,GLNA,sce:YPR035W,GLNA_YEAST,S000006239,856147
YPR041W,"eIF5, S000006245, SUI5, TIF5, Translation initiation factor eIF5","Translation initiation factor eIF5, eIF5","mature ribosome assembly, regulation of translational initiation","cytosolic small ribosomal subunit (sensu the Eukaryota research community), multi-eIF complex","GTPase activator activity, translation initiation factor activity",IF5,sce:YPR041W,IF5_YEAST,S000006245,856154
YPR048W,"S000006252, TAH18",,biological_process,cellular_component,molecular_function,NDOR1,sce:YPR048W,NDOR1_YEAST,S000006252,856161
YPR062W,"FCY1, S000006266, cytosine deaminase, yCD",cytosine deaminase,"cytidine metabolic process, cytosine metabolic process, pyrimidine salvage","cytoplasm, nucleus",cytosine deaminase activity,FCY1,sce:YPR062W,FCY1_YEAST,S000006266,856175
YPR080W,"translational elongation factor EF-1 alpha, EF-1 alpha, S000006284, TEF1, eEF1A","eEF1A, translational elongation factor EF-1 alpha",translational elongation,"eukaryotic translation elongation factor 1 complex, ribosome",translation elongation factor activity,EF1A,sce:YPR080W,EF1A_YEAST,S000000322,852415
YPR080W,"translational elongation factor EF-1 alpha, EF-1 alpha, S000006284, TEF1, eEF1A","eEF1A, translational elongation factor EF-1 alpha",translational elongation,"eukaryotic translation elongation factor 1 complex, ribosome",translation elongation factor activity,EF1A,sce:YPR080W,EF1A_YEAST,S000000322,856195
YPR080W,"translational elongation factor EF-1 alpha, EF-1 alpha, S000006284, TEF1, eEF1A","eEF1A, translational elongation factor EF-1 alpha",translational elongation,"eukaryotic translation elongation factor 1 complex, ribosome",translation elongation factor activity,EF1A,sce:YPR080W,EF1A_YEAST,S000006284,852415
YPR080W,"translational elongation factor EF-1 alpha, EF-1 alpha, S000006284, TEF1, eEF1A","eEF1A, translational elongation factor EF-1 alpha",translational elongation,"eukaryotic translation elongation factor 1 complex, ribosome",translation elongation factor activity,EF1A,sce:YPR080W,EF1A_YEAST,S000006284,856195
YPR102C,"RPL11A, S000006306, ribosomal protein L11A (L16A) (rp39A) (YL22)",ribosomal protein L11A (L16A) (rp39A) (YL22),ribosomal large subunit assembly and maintenance,cytosolic large ribosomal subunit (sensu the Eukaryota research community),structural constituent of ribosome,RL11A,sce:YPR102C,RL11A_YEAST,S000006306,856217
YPR110C," RNA polymerase III subunit, AC40, RPC40, RPC5, S000006314","AC40, RNA polymerase III subunit","transcription from RNA polymerase I promoter, transcription from RNA polymerase III promoter","DNA-directed RNA polymerase I complex, DNA-directed RNA polymerase III complex",DNA-directed RNA polymerase activity,RPAC1,sce:YPR110C,RPAC1_YEAST,S000006314,856226
YPR113W,"PIS1, S000006317, phosphatidylinositol synthase",phosphatidylinositol synthase,"cell cycle, phosphatidylinositol biosynthetic process","endoplasmic reticulum, microsome, mitochondrial outer membrane, mitochondrion",CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity,PIS,sce:YPR113W,PIS_YEAST,S000006317,856229
YPR119W,"B-type cyclin, CLB2, S000006323",B-type cyclin,"G2/M transition of mitotic cell cycle, regulation of cyclin-dependent protein kinase activity","bud neck, cytoplasm, nucleus, spindle, spindle pole body",cyclin-dependent protein kinase regulator activity,CG22,sce:YPR119W,CG22_YEAST,S000006323,856236
YPR124W,"CTR1, S000006328, copper transport protein",copper transport protein,copper ion import,plasma membrane,copper uptake transporter activity,CTR1,sce:YPR124W,CTR1_YEAST,S000006328,856241
YPR145W,"ASN1, S000006349, asparagine synthetase",asparagine synthetase,asparagine biosynthetic process,cytoplasm,asparagine synthase (glutamine-hydrolyzing) activity,ASNS1,sce:YPR145W,ASNS1_YEAST,S000006349,856268
YPR167C,"3'phosphoadenylylsulfate reductase, MET16, S000006371",3'phosphoadenylylsulfate reductase,"methionine metabolic process, sulfate assimilation","cytoplasm, intracellular",phosphoadenylyl-sulfate reductase (thioredoxin) activity,MET16,sce:YPR167C,MET16_YEAST,S000006371,856296
